Sample ID,Cd,Cu,Ni,Mn,Fe,Zn
1Bh_x1_c,0.42,2.61,3.55,44.81,69.11,5.28
1Bh_x2_a,0.42,2.61,3.55,44.81,69.11,5.28
1Bh_x2_b,0.42,2.61,3.55,44.81,69.11,5.28
1Bh_x2_c,0.42,2.61,3.55,44.81,69.11,5.28
1Bv_m_x_a,0.42,2.61,3.55,44.81,69.11,5.28
1Bv_m_x_b,0.42,2.61,3.55,44.81,69.11,5.28
1Bv_m_x_c,0.42,2.61,3.55,44.81,69.11,5.28
1Bv_m_x1_a,0.42,2.61,3.55,44.81,69.11,5.28
1Bv_m_x1_b,0.42,2.61,3.55,44.81,69.11,5.28
1Bv_m_x1_c,0.42,2.61,3.55,44.81,69.11,5.28
1Bv_m_x2_a,0.42,2.61,3.55,44.81,69.11,5.28
1Bv_m_x2_b,0.42,2.61,3.55,44.81,69.11,5.28
1Bv_m_x2_c,0.42,2.61,3.55,44.81,69.11,5.28
1Bv_x_a,0.42,2.61,3.55,44.81,69.11,5.28
1Bv_x_b,0.42,2.61,3.55,44.81,69.11,5.28
1Bv_x_c,0.42,2.61,3.55,44.81,69.11,5.28
1Bv_x1_a,0.42,2.61,3.55,44.81,69.11,5.28
1Bv_x1_b,0.42,2.61,3.55,44.81,69.11,5.28
1Bv_x1_c,0.42,2.61,3.55,44.81,69.11,5.28
1Bv_x2_a,0.42,2.61,3.55,44.81,69.11,5.28
1Bv_x2_b,0.42,2.61,3.55,44.81,69.11,5.28
1Bv_x2_c,0.42,2.61,3.55,44.81,69.11,5.28
2h_m_x_a,0.18,1.78,2.02,29.03,43.77,3.22
2h_m_x_b,0.18,1.78,2.02,29.03,43.77,3.22
2h_m_x_c,0.18,1.78,2.02,29.03,43.77,3.22
2h_m_x1_a,0.18,1.78,2.02,29.03,43.77,3.22
2h_m_x1_b,0.18,1.78,2.02,29.03,43.77,3.22
2h_m_x1_c,0.18,1.78,2.02,29.03,43.77,3.22
2h_m_x2_a,0.18,1.78,2.02,29.03,43.77,3.22
2h_m_x2_b,0.18,1.78,2.02,29.03,43.77,3.22
2h_m_x2_c,0.18,1.78,2.02,29.03,43.77,3.22
2h_x_a,0.18,1.78,2.02,29.03,43.77,3.22
2h_x_b,0.18,1.78,2.02,29.03,43.77,3.22
2h_x_c,0.18,1.78,2.02,29.03,43.77,3.22
2h_x1_a,0.18,1.78,2.02,29.03,43.77,3.22
2h_x1_b,0.18,1.78,2.02,29.03,43.77,3.22
2h_x1_c,0.18,1.78,2.02,29.03,43.77,3.22
2h_x2_a,0.18,1.78,2.02,29.03,43.77,3.22
2h_x2_b,0.18,1.78,2.02,29.03,43.77,3.22
2h_x2_c,0.18,1.78,2.02,29.03,43.77,3.22
2v_m_x_a,0.18,1.78,2.02,29.03,43.77,3.22
2v_m_x_b,0.18,1.78,2.02,29.03,43.77,3.22
2v_m_x_c,0.18,1.78,2.02,29.03,43.77,3.22
2v_m_x1_a,0.18,1.78,2.02,29.03,43.77,3.22
2v_m_x1_b,0.18,1.78,2.02,29.03,43.77,3.22
2v_m_x1_c,0.18,1.78,2.02,29.03,43.77,3.22
2v_m_x2_a,0.18,1.78,2.02,29.03,43.77,3.22
2v_m_x2_b,0.18,1.78,2.02,29.03,43.77,3.22
2v_m_x2_c,0.18,1.78,2.02,29.03,43.77,3.22
2v_x_a,0.18,1.78,2.02,29.03,43.77,3.22
2v_x_b,0.18,1.78,2.02,29.03,43.77,3.22
2v_x_c,0.18,1.78,2.02,29.03,43.77,3.22
2v_x1_a,0.18,1.78,2.02,29.03,43.77,3.22
2v_x1_b,0.18,1.78,2.02,29.03,43.77,3.22
2v_x1_c,0.18,1.78,2.02,29.03,43.77,3.22
2v_x2_a,0.18,1.78,2.02,29.03,43.77,3.22
2v_x2_b,0.18,1.78,2.02,29.03,43.77,3.22
2v_x2_c,0.18,1.78,2.02,29.03,43.77,3.22
4Ah_m_x_a,0.56,1.05,1.65,39.56,1.58,4.4
4Ah_m_x_b,0.56,1.05,1.65,39.56,1.58,4.4
4Ah_m_x_c,0.56,1.05,1.65,39.56,1.58,4.4
4Ah_m_x1_a,0.56,1.05,1.65,39.56,1.58,4.4
4Ah_m_x1_b,0.56,1.05,1.65,39.56,1.58,4.4
4Ah_m_x1_c,0.56,1.05,1.65,39.56,1.58,4.4
4Ah_m_x2_a,0.56,1.05,1.65,39.56,1.58,4.4
4Ah_m_x2_b,0.56,1.05,1.65,39.56,1.58,4.4
4Ah_m_x2_c,0.56,1.05,1.65,39.56,1.58,4.4
4Ah_x_a,0.56,1.05,1.65,39.56,1.58,4.4
4Ah_x_b,0.56,1.05,1.65,39.56,1.58,4.4
4Ah_x_c,0.56,1.05,1.65,39.56,1.58,4.4
4Ah_x1_a,0.56,1.05,1.65,39.56,1.58,4.4
4Ah_x1_b,0.56,1.05,1.65,39.56,1.58,4.4
4Ah_x1_c,0.56,1.05,1.65,39.56,1.58,4.4
4Ah_x2_a,0.56,1.05,1.65,39.56,1.58,4.4
4Ah_x2_b,0.56,1.05,1.65,39.56,1.58,4.4
4Ah_x2_c,0.56,1.05,1.65,39.56,1.58,4.4
4Av_m_x_a,0.56,1.05,1.65,39.56,1.58,4.4
4Av_m_x_b,0.56,1.05,1.65,39.56,1.58,4.4
4Av_m_x_c,0.56,1.05,1.65,39.56,1.58,4.4
4Av_m_x1_a,0.56,1.05,1.65,39.56,1.58,4.4
4Av_m_x1_b,0.56,1.05,1.65,39.56,1.58,4.4
4Ah_m_x1_c,0.56,1.05,1.65,39.56,1.58,4.4
4Av_m_x2_a,0.56,1.05,1.65,39.56,1.58,4.4
4Av_m_x2_b,0.56,1.05,1.65,39.56,1.58,4.4
4Av_m_x2_c,0.56,1.05,1.65,39.56,1.58,4.4
4Av_x_a,0.56,1.05,1.65,39.56,1.58,4.4
4Av_x_b,0.56,1.05,1.65,39.56,1.58,4.4
4Av_x_c,0.56,1.05,1.65,39.56,1.58,4.4
4Av_x1_a,0.56,1.05,1.65,39.56,1.58,4.4
4Av_x1_b,0.56,1.05,1.65,39.56,1.58,4.4
4Av_x1_c,0.56,1.05,1.65,39.56,1.58,4.4
4Av_x2_a,0.56,1.05,1.65,39.56,1.58,4.4
4Av_x2_b,0.56,1.05,1.65,39.56,1.58,4.4
4Av_x2_c,0.56,1.05,1.65,39.56,1.58,4.4
4Bh_m_x_a,0.37,0.84,1.1,16.05,1.13,2.33
4Bh_m_x_b,0.37,0.84,1.1,16.05,1.13,2.33
4Bh_m_x_c,0.37,0.84,1.1,16.05,1.13,2.33
4Bh_m_x1_a,0.37,0.84,1.1,16.05,1.13,2.33
4Bh_m_x1_b,0.37,0.84,1.1,16.05,1.13,2.33
4Bh_m_x1_c,0.37,0.84,1.1,16.05,1.13,2.33
4Bh_m_x2_a,0.37,0.84,1.1,16.05,1.13,2.33
4Bh_m_x2_b,0.37,0.84,1.1,16.05,1.13,2.33
4Bh_m_x2_c,0.37,0.84,1.1,16.05,1.13,2.33
4Bh_x_a,0.37,0.84,1.1,16.05,1.13,2.33
4Bh_x_b,0.37,0.84,1.1,16.05,1.13,2.33
4Bh_x_c,0.37,0.84,1.1,16.05,1.13,2.33
4Bh_x1_a,0.37,0.84,1.1,16.05,1.13,2.33
4Bh_x1_b,0.37,0.84,1.1,16.05,1.13,2.33
4Bh_x1_c,0.37,0.84,1.1,16.05,1.13,2.33
4Bh_x2_a,0.37,0.84,1.1,16.05,1.13,2.33
4Bh_x2_b,0.37,0.84,1.1,16.05,1.13,2.33
4Bh_x2_c,0.37,0.84,1.1,16.05,1.13,2.33
4Bv_m_x_a,0.37,0.84,1.1,16.05,1.13,2.33
4Bv_m_x_b,0.37,0.84,1.1,16.05,1.13,2.33
4Bv_m_x_c,0.37,0.84,1.1,16.05,1.13,2.33
4Bv_m_x1_a,0.37,0.84,1.1,16.05,1.13,2.33
4Bv_m_x1_b,0.37,0.84,1.1,16.05,1.13,2.33
4Bv_m_x1_c,0.37,0.84,1.1,16.05,1.13,2.33
4Bv_m_x2_a,0.37,0.84,1.1,16.05,1.13,2.33
4Bv_m_x2_b,0.37,0.84,1.1,16.05,1.13,2.33
4Bv_m_x2_c,0.37,0.84,1.1,16.05,1.13,2.33
4Bv_x_a,0.37,0.84,1.1,16.05,1.13,2.33
4Bv_x_b,0.37,0.84,1.1,16.05,1.13,2.33
4Bv_x_c,0.37,0.84,1.1,16.05,1.13,2.33
4Bv_x1_a,0.37,0.84,1.1,16.05,1.13,2.33
4Bv_x1_b,0.37,0.84,1.1,16.05,1.13,2.33
4Bv_x1_c,0.37,0.84,1.1,16.05,1.13,2.33
4Bv_x2_a,0.37,0.84,1.1,16.05,1.13,2.33
4Bv_x2_b,0.37,0.84,1.1,16.05,1.13,2.33
4Bv_x2_c,0.37,0.84,1.1,16.05,1.13,2.33
5h_m_x_a,0.59,0.79,1.25,24.15,0.75,5.24
5h_m_x_b,0.59,0.79,1.25,24.15,0.75,5.24
5h_m_x_c,0.59,0.79,1.25,24.15,0.75,5.24
5h_m_x1_a,0.59,0.79,1.25,24.15,0.75,5.24
5h_m_x1_b,0.59,0.79,1.25,24.15,0.75,5.24
5h_m_x1_c,0.59,0.79,1.25,24.15,0.75,5.24
5h_m_x2_a,0.59,0.79,1.25,24.15,0.75,5.24
5h_m_x2_b,0.59,0.79,1.25,24.15,0.75,5.24
5h_m_x2_c,0.59,0.79,1.25,24.15,0.75,5.24
5h_x_a,0.68,1.05,1.8,39.0,2.03,1.2
5h_x_b,0.68,1.05,1.8,39.0,2.03,1.2
5h_x_c,0.68,1.05,1.8,39.0,2.03,1.2
5h_x1_a,0.68,1.05,1.8,39.0,2.03,1.2
5h_x1_b,0.68,1.05,1.8,39.0,2.03,1.2
5h_x1_c,0.68,1.05,1.8,39.0,2.03,1.2
5h_x2_a,0.68,1.05,1.8,39.0,2.03,1.2
5h_x2_b,0.68,1.05,1.8,39.0,2.03,1.2
5h_x2_c,0.68,1.05,1.8,39.0,2.03,1.2
5v_m_x_a,0.59,0.79,1.25,24.15,0.75,5.24
5v_m_x_b,0.59,0.79,1.25,24.15,0.75,5.24
5v_m_x_c,0.59,0.79,1.25,24.15,0.75,5.24
5v_m_x1_a,0.59,0.79,1.25,24.15,0.75,5.24
5v_m_x1_b,0.59,0.79,1.25,24.15,0.75,5.24
5v_m_x1_c,0.59,0.79,1.25,24.15,0.75,5.24
5v_m_x2_a,0.59,0.79,1.25,24.15,0.75,5.24
5v_m_x2_b,0.59,0.79,1.25,24.15,0.75,5.24
5v_m_x2_c,0.59,0.79,1.25,24.15,0.75,5.24
5v_x_a,0.68,1.05,1.8,39.0,2.03,1.2
5v_x_b,0.68,1.05,1.8,39.0,2.03,1.2
5v_x_c,0.68,1.05,1.8,39.0,2.03,1.2
5v_x1_a,0.68,1.05,1.8,39.0,2.03,1.2
5v_x1_b,0.68,1.05,1.8,39.0,2.03,1.2
5v_x1_c,0.68,1.05,1.8,39.0,2.03,1.2
5v_x2_a,0.68,1.05,1.8,39.0,2.03,1.2
5v_x2_b,0.68,1.05,1.8,39.0,2.03,1.2
5v_x2_c,0.68,1.05,1.8,39.0,2.03,1.2
8Ah_m_x_a,0.53,0.56,1.24,25.57,0.75,0.27
8Ah_m_x_b,0.53,0.56,1.24,25.57,0.75,0.27
8Ah_m_x_c,0.53,0.56,1.24,25.57,0.75,0.27
8Ah_m_x1_a,0.53,0.56,1.24,25.57,0.75,0.27
8Ah_m_x1_b,0.53,0.56,1.24,25.57,0.75,0.27
8Ah_m_x1_c,0.53,0.56,1.24,25.57,0.75,0.27
8Ah_m_x2_a,0.53,0.56,1.24,25.57,0.75,0.27
8Ah_m_x2_b,0.53,0.56,1.24,25.57,0.75,0.27
8Ah_m_x2_c,0.53,0.56,1.24,25.57,0.75,0.27
8Ah_x_a,0.53,0.56,1.24,25.57,0.75,0.27
8Ah_x_b,0.53,0.56,1.24,25.57,0.75,0.27
8Ah_x_c,0.53,0.56,1.24,25.57,0.75,0.27
8Ah_x1_a,0.53,0.56,1.24,25.57,0.75,0.27
8Ah_x1_b,0.53,0.56,1.24,25.57,0.75,0.27
8Ah_x1_c,0.53,0.56,1.24,25.57,0.75,0.27
8Ah_x2_a,0.53,0.56,1.24,25.57,0.75,0.27
8Ah_x2_b,0.53,0.56,1.24,25.57,0.75,0.27
8Ah_x2_c,0.53,0.56,1.24,25.57,0.75,0.27
8Av_m_x_a,0.53,0.56,1.24,25.57,0.75,0.27
8Av_m_x_b,0.53,0.56,1.24,25.57,0.75,0.27
8Av_m_x_c,0.53,0.56,1.24,25.57,0.75,0.27
8Av_m_x1_a,0.53,0.56,1.24,25.57,0.75,0.27
8Av_m_x1_b,0.53,0.56,1.24,25.57,0.75,0.27
8Av_m_x1_c,0.53,0.56,1.24,25.57,0.75,0.27
8Av_m_x2_a,0.53,0.56,1.24,25.57,0.75,0.27
8Av_m_x2_b,0.53,0.56,1.24,25.57,0.75,0.27
8Av_m_x2_c,0.53,0.56,1.24,25.57,0.75,0.27
8Av_x_a,0.53,0.56,1.24,25.57,0.75,0.27
8Av_x_b,0.53,0.56,1.24,25.57,0.75,0.27
8Av_x_c,0.53,0.56,1.24,25.57,0.75,0.27
8Av_x1_b,0.53,0.56,1.24,25.57,0.75,0.27
8Av_x1_c,0.53,0.56,1.24,25.57,0.75,0.27
8Av_x2_a,0.53,0.56,1.24,25.57,0.75,0.27
8Av_x2_b,0.53,0.56,1.24,25.57,0.75,0.27
8Av_x2_c,0.53,0.56,1.24,25.57,0.75,0.27
8Bh_m_x_a,0.5,0.47,1.4,21.98,1.01,0.3
8Bh_m_x_b,0.5,0.47,1.4,21.98,1.01,0.3
8Bh_m_x_c,0.5,0.47,1.4,21.98,1.01,0.3
8Bh_m_x1_a,0.5,0.47,1.4,21.98,1.01,0.3
8Bh_m_x1_b,0.5,0.47,1.4,21.98,1.01,0.3
8Bh_m_x1_c,0.5,0.47,1.4,21.98,1.01,0.3
8Bh_m_x2_a,0.5,0.47,1.4,21.98,1.01,0.3
8Bh_m_x2_b,0.5,0.47,1.4,21.98,1.01,0.3
8Bh_m_x2_c,0.5,0.47,1.4,21.98,1.01,0.3
8Bh_x_a,0.5,0.47,1.4,21.98,1.01,0.3
8Bh_x_b,0.5,0.47,1.4,21.98,1.01,0.3
8Bh_x_c,0.5,0.47,1.4,21.98,1.01,0.3
8Bh_x1_a,0.5,0.47,1.4,21.98,1.01,0.3
8Bh_x1_b,0.5,0.47,1.4,21.98,1.01,0.3
8Bh_x1_c,0.5,0.47,1.4,21.98,1.01,0.3
8Bh_x2_a,0.5,0.47,1.4,21.98,1.01,0.3
8Bh_x2_b,0.5,0.47,1.4,21.98,1.01,0.3
8Bh_x2_c,0.5,0.47,1.4,21.98,1.01,0.3
8Bv_m_x_a,0.5,0.47,1.4,21.98,1.01,0.3
8Bv_m_x_b,0.5,0.47,1.4,21.98,1.01,0.3
8Bv_m_x_c,0.5,0.47,1.4,21.98,1.01,0.3
8Bv_m_x1_a,0.5,0.47,1.4,21.98,1.01,0.3
8Bv_m_x1_b,0.5,0.47,1.4,21.98,1.01,0.3
8Bv_m_x1_c,0.5,0.47,1.4,21.98,1.01,0.3
8Bv_m_x2_a,0.5,0.47,1.4,21.98,1.01,0.3
8Bv_m_x2_b,0.5,0.47,1.4,21.98,1.01,0.3
8Bv_m_x2_c,0.5,0.47,1.4,21.98,1.01,0.3
8Bv_x_a,0.5,0.47,1.4,21.98,1.01,0.3
8Bv_x_b,0.5,0.47,1.4,21.98,1.01,0.3
8Bv_x_c,0.5,0.47,1.4,21.98,1.01,0.3
8Bv_x1_a,0.5,0.47,1.4,21.98,1.01,0.3
8Bv_x1_b,0.5,0.47,1.4,21.98,1.01,0.3
8Bv_x1_c,0.5,0.47,1.4,21.98,1.01,0.3
8Bv_x2_a,0.5,0.47,1.4,21.98,1.01,0.3
8Bv_x2_b,0.5,0.47,1.4,21.98,1.01,0.3
8Bv_x2_c,0.5,0.47,1.4,21.98,1.01,0.3
9Ah_m_x_a,0.85,0.94,2.0,13.65,0.9,0.39
9Ah_m_x_b,0.85,0.94,2.0,13.65,0.9,0.39
9Ah_m_x_c,0.85,0.94,2.0,13.65,0.9,0.39
9Ah_m_x1_a,0.85,0.94,2.0,13.65,0.9,0.39
9Ah_m_x1_b,0.85,0.94,2.0,13.65,0.9,0.39
9Ah_m_x1_c,0.85,0.94,2.0,13.65,0.9,0.39
9Ah_m_x2_a,0.85,0.94,2.0,13.65,0.9,0.39
9Ah_m_x2_b,0.85,0.94,2.0,13.65,0.9,0.39
9Ah_m_x2_c,0.85,0.94,2.0,13.65,0.9,0.39
9Ah_x_a,0.85,0.94,2.0,13.65,0.9,0.39
9Ah_x_b,0.85,0.94,2.0,13.65,0.9,0.39
9Ah_x_c,0.85,0.94,2.0,13.65,0.9,0.39
9Ah_x1_a,0.85,0.94,2.0,13.65,0.9,0.39
9Ah_x1_b,0.85,0.94,2.0,13.65,0.9,0.39
9Ah_x1_c,0.85,0.94,2.0,13.65,0.9,0.39
9Ah_x2_a,0.85,0.94,2.0,13.65,0.9,0.39
9Ah_x2_b,0.85,0.94,2.0,13.65,0.9,0.39
9Ah_x2_c,0.85,0.94,2.0,13.65,0.9,0.39
9Av_m_x_a,0.85,0.94,2.0,13.65,0.9,0.39
9Av_m_x_b,0.85,0.94,2.0,13.65,0.9,0.39
9Av_m_x_c,0.85,0.94,2.0,13.65,0.9,0.39
9Av_m_x1_a,0.85,0.94,2.0,13.65,0.9,0.39
9Av_m_x1_b,0.85,0.94,2.0,13.65,0.9,0.39
9Av_m_x1_c,0.85,0.94,2.0,13.65,0.9,0.39
9Av_m_x2_a,0.85,0.94,2.0,13.65,0.9,0.39
9Av_m_x2_b,0.85,0.94,2.0,13.65,0.9,0.39
9Av_m_x2_c,0.85,0.94,2.0,13.65,0.9,0.39
9Av_x_a,0.85,0.94,2.0,13.65,0.9,0.39
9Av_x_b,0.85,0.94,2.0,13.65,0.9,0.39
9Av_x_c,0.85,0.94,2.0,13.65,0.9,0.39
9Av_x1_a,0.85,0.94,2.0,13.65,0.9,0.39
9Av_x1_b,0.85,0.94,2.0,13.65,0.9,0.39
9Av_x1_c,0.85,0.94,2.0,13.65,0.9,0.39
9Av_x2_a,0.85,0.94,2.0,13.65,0.9,0.39
9Av_x2_b,0.85,0.94,2.0,13.65,0.9,0.39
9Av_x2_c,0.85,0.94,2.0,13.65,0.9,0.39
9Bh_m_x_a,0.83,1.0,1.87,14.07,1.1,0.49
9Bh_m_x_b,0.83,1.0,1.87,14.07,1.1,0.49
9Bh_m_x_c,0.83,1.0,1.87,14.07,1.1,0.49
9Bh_m_x1_a,0.83,1.0,1.87,14.07,1.1,0.49
9Bh_m_x1_b,0.83,1.0,1.87,14.07,1.1,0.49
9Bh_m_x1_c,0.83,1.0,1.87,14.07,1.1,0.49
9Bh_m_x2_a,0.83,1.0,1.87,14.07,1.1,0.49
9Bh_m_x2_b,0.83,1.0,1.87,14.07,1.1,0.49
9Bh_m_x2_c,0.83,1.0,1.87,14.07,1.1,0.49
9Bh_x_a,0.83,1.0,1.87,14.07,1.1,0.49
9Bh_x_b,0.83,1.0,1.87,14.07,1.1,0.49
9Bh_x_c,0.83,1.0,1.87,14.07,1.1,0.49
9Bh_x1_a,0.83,1.0,1.87,14.07,1.1,0.49
9Bh_x1_b,0.83,1.0,1.87,14.07,1.1,0.49
9Bh_x1_c,0.83,1.0,1.87,14.07,1.1,0.49
9Bh_x2_a,0.83,1.0,1.87,14.07,1.1,0.49
9Bh_x2_b,0.83,1.0,1.87,14.07,1.1,0.49
9Bh_x2_c,0.83,1.0,1.87,14.07,1.1,0.49
9Bv_m_x_a,0.83,1.0,1.87,14.07,1.1,0.49
9Bv_m_x_b,0.83,1.0,1.87,14.07,1.1,0.49
9Bv_m_x_c,0.83,1.0,1.87,14.07,1.1,0.49
9Bv_m_x1_a,0.83,1.0,1.87,14.07,1.1,0.49
9Bv_m_x1_b,0.83,1.0,1.87,14.07,1.1,0.49
9Bv_m_x1_c,0.83,1.0,1.87,14.07,1.1,0.49
9Bv_m_x2_a,0.83,1.0,1.87,14.07,1.1,0.49
9Bv_m_x2_b,0.83,1.0,1.87,14.07,1.1,0.49
9Bv_m_x2_c,0.83,1.0,1.87,14.07,1.1,0.49
9Bv_x_a,0.83,1.0,1.87,14.07,1.1,0.49
9Bv_x_b,0.83,1.0,1.87,14.07,1.1,0.49
9Bv_x_c,0.83,1.0,1.87,14.07,1.1,0.49
9Bv_x1_a,0.83,1.0,1.87,14.07,1.1,0.49
9Bv_x1_b,0.83,1.0,1.87,14.07,1.1,0.49
9Bv_x1_c,0.83,1.0,1.87,14.07,1.1,0.49
9Bv_x2_a,0.83,1.0,1.87,14.07,1.1,0.49
9Bv_x2_b,0.83,1.0,1.87,14.07,1.1,0.49
9Bv_x2_c,0.83,1.0,1.87,14.07,1.1,0.49
10Ah_m_x_a,0.65,0.79,1.31,11.25,0.38,0.39
10Ah_m_x_b,0.65,0.79,1.31,11.25,0.38,0.39
10Ah_m_x_c,0.65,0.79,1.31,11.25,0.38,0.39
10Ah_m_x1_a,0.65,0.79,1.31,11.25,0.38,0.39
10Ah_m_x1_b,0.65,0.79,1.31,11.25,0.38,0.39
10Ah_m_x1_c,0.65,0.79,1.31,11.25,0.38,0.39
10Ah_m_x2_a,0.65,0.79,1.31,11.25,0.38,0.39
10Ah_m_x2_b,0.65,0.79,1.31,11.25,0.38,0.39
10Ah_m_x2_c,0.65,0.79,1.31,11.25,0.38,0.39
10Ah_x_a,0.65,0.79,1.31,11.25,0.38,0.39
10Ah_x_b,0.65,0.79,1.31,11.25,0.38,0.39
10Ah_x_c,0.65,0.79,1.31,11.25,0.38,0.39
10Ah_x1_a,0.65,0.79,1.31,11.25,0.38,0.39
10Ah_x1_b,0.65,0.79,1.31,11.25,0.38,0.39
10Ah_x1_c,0.65,0.79,1.31,11.25,0.38,0.39
10Ah_x2_a,0.65,0.79,1.31,11.25,0.38,0.39
10Ah_x2_b,0.65,0.79,1.31,11.25,0.38,0.39
10Ah_x2_c,0.65,0.79,1.31,11.25,0.38,0.39
10Av_m_x_a,0.65,0.79,1.31,11.25,0.38,0.39
10Av_m_x_b,0.65,0.79,1.31,11.25,0.38,0.39
10Av_m_x_c,0.65,0.79,1.31,11.25,0.38,0.39
10Av_m_x1_a,0.65,0.79,1.31,11.25,0.38,0.39
10Av_m_x1_b,0.65,0.79,1.31,11.25,0.38,0.39
10Av_m_x1_c,0.65,0.79,1.31,11.25,0.38,0.39
10Av_m_x2_a,0.65,0.79,1.31,11.25,0.38,0.39
10Av_m_x2_b,0.65,0.79,1.31,11.25,0.38,0.39
10Av_m_x2_c,0.65,0.79,1.31,11.25,0.38,0.39
10Av_x_a,0.65,0.79,1.31,11.25,0.38,0.39
10Av_x_b,0.65,0.79,1.31,11.25,0.38,0.39
10Av_x_c,0.65,0.79,1.31,11.25,0.38,0.39
10Av_x1_a,0.65,0.79,1.31,11.25,0.38,0.39
10Ah_x1_b,0.65,0.79,1.31,11.25,0.38,0.39
10Av_x1_c,0.65,0.79,1.31,11.25,0.38,0.39
10Av_x2_a,0.65,0.79,1.31,11.25,0.38,0.39
10Av_x2_b,0.65,0.79,1.31,11.25,0.38,0.39
10Av_x2_c,0.65,0.79,1.31,11.25,0.38,0.39
10Bh_m_x_a,0.59,0.83,0.91,9.8,0.54,0.42
10Bh_m_x_b,0.59,0.83,0.91,9.8,0.54,0.42
10Bh_m_x_c,0.59,0.83,0.91,9.8,0.54,0.42
10Bh_m_x1_a,0.59,0.83,0.91,9.8,0.54,0.42
10Bh_m_x1_b,0.59,0.83,0.91,9.8,0.54,0.42
10Bh_m_x1_c,0.59,0.83,0.91,9.8,0.54,0.42
10Bh_m_x2_a,0.59,0.83,0.91,9.8,0.54,0.42
10Bh_m_x2_b,0.59,0.83,0.91,9.8,0.54,0.42
10Bh_m_x2_c,0.59,0.83,0.91,9.8,0.54,0.42
10Bh_x_a,0.59,0.83,0.91,9.8,0.54,0.42
10Bh_x_b,0.59,0.83,0.91,9.8,0.54,0.42
10Bh_x_c,0.59,0.83,0.91,9.8,0.54,0.42
10Bh_x1_a,0.59,0.83,0.91,9.8,0.54,0.42
